,name,asset_ownership_name,latitude,longitude,asset_type,country
1414,Governador Marcelo Deda power station,Centrais Elétricas de Sergipe SA,-10.814366,-36.939657,oil_and_gas_plant,Brazil
1415,Gwangyang power station,SK E&S Co Ltd,34.8895,127.7747,oil_and_gas_plant,
1416,Chanute 2 power station,City of Chanute,37.6953,-95.4586,oil_and_gas_plant,United States
1417,Middle Modi hydroelectric plant,Nepal Jalabidhyut Parbardan tatha Bikas LTD,27.4841,83.276,hydro_power_low,Nepal
1418,Sterlington power station,Entergy Louisiana LLC,32.7047,-92.0792,oil_and_gas_plant,United States
1419,Sultana del Este power station,Empresa Generadora de Electricidad Haina SA,18.44793,-69.313378,oil_and_gas_plant,Dominican Republic
1420,Azito power plant,Azito Energie SA,5.30155,-4.0763,oil_and_gas_plant,
1421,Pointe des Carrières power station,Electricité de France SA,14.59731,-61.05799,oil_and_gas_plant,France
1422,Gopalganj power station,Energypac Power Generation,23.0301066274104,89.8212560350092,oil_and_gas_plant,Bangladesh
1423,Ichthys LNG power station,INPEX Corp,-12.513898,130.918349,oil_and_gas_plant,Australia
1424,Dadri Combined Cycle power plant,NTPC Ltd,28.5932,77.6101,oil_and_gas_plant,India
1425,Meramec Power Plant,Ameren Missouri,38.4017,-90.3358,oil_and_gas_plant,United States
1426,El Tarifawi power plant,Public Establishment of Electricity Generation,36.178912,37.155422,oil_and_gas_plant,Syrian Arab Republic
1427,Ras Abu Fontas power plant,Qatar Electricity and Water Company QPSC,25.198212,51.617611,oil_and_gas_plant,Qatar
1428,Mediterranean Sea Floating power station,Egyptian Electricity Holding Company,31.335,30.190111,oil_and_gas_plant,
1429,Gaslub power station,Petróleo Brasileiro SA,-22.645356,-42.860825,oil_and_gas_plant,Brazil
1430,Geregu II power station,Geregu Generation Co Ltd,7.471578,6.66025,oil_and_gas_plant,Nigeria
1431,Robert Reid Power Plant,Big Rivers Electric Corp,37.6461,-87.5019,oil_and_gas_plant,United States
1432,Negishi Refinery power station,ENEOS Corp,35.4151827246748,139.637548804238,oil_and_gas_plant,Japan
1433,Termogas Machala 1 power station,Corporación Nacional de Electricidad EP,-3.116985,-79.879169,oil_and_gas_plant,Ecuador
1434,Incheon Airport CHP power station,Incheon Airport Energy Co Ltd,37.4944136158685,126.475520074172,oil_and_gas_plant,
1435,Augusta Refinery power station,Sasol Italy,37.22038,15.17781,oil_and_gas_plant,Italy
1436,Altamira V power station,Mexico Infrastructure Partners SAPI de CV,22.499742,-97.905487,oil_and_gas_plant,Mexico
1437,Khimti I hydroelectric plant,Butwal Power CO LTD,27.4744,86.1011,hydro_power_low,Nepal
1438,Sumgayit power station,AzerEnerji JSC,40.603363,49.633417,oil_and_gas_plant,Azerbaijan
1439,Armstrong Gas power station,Armstrong Power LLC,40.638021,-79.35173,oil_and_gas_plant,United States
1440,Fayette energy facility,Fayette Power Co LLC,39.8592,-79.9182,oil_and_gas_plant,United States
1441,Wheatland generating facility,Duke Energy Indiana LLC,38.6716,-87.2931,oil_and_gas_plant,United States
1442,Hutchinson Energy Center,Evergy Kansas Central Inc,38.0906,-97.874722,oil_and_gas_plant,United States
